Instancia,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_200_222_3835,22.74,1,0,56,6,0,33.26,543278,10,0,0
Spd_RF2_200_222_3843,23.12,1,0,55,9,0,31.88,548416,10,0,0
Spd_RF2_200_244_3851,16.42,1,0,48,10,0,31.58,486526,10,0,0
Spd_RF2_200_244_3859,17.31,1,0,51,8,0,33.69,482346,10,0,0
Spd_RF2_200_244_3867,15.88,1,0,48,14,0,32.12,471656,10,0,0
Spd_RF2_200_244_3875,15.8,1,0,48,4,0,32.2,483132,10,0,0
Spd_RF2_200_244_3883,15.9,1,0,48,3,0,32.1,487584,10,0,0
Spd_RF2_200_267_3891,9.78,1,0,44,2,0,34.22,417173,10,0,0
Spd_RF2_200_267_3899,10.53,1,0,45,8,0,34.47,412151,10,0,0
Spd_RF2_200_267_3907,9.5,1,0,43,6,0,33.5,417826,10,0,0
Spd_RF2_200_267_3915,10.58,1,0,46,7,0,35.42,419606,10,0,0
Spd_RF2_200_267_3923,10.41,1,0,45,6,0,34.59,411992,10,0,0
Spd_RF2_200_289_3931,5.12,1,0,38,4,0,32.88,388887,10,0,0
Spd_RF2_200_289_3939,5.97,1,0,40,39341,1,34.03,391025,10,0,0
Spd_RF2_200_289_3947,5.53,1,0,43,9,0,37.47,381483,10,0,0
Spd_RF2_200_289_3955,6.39,1,0,45,1,0,38.61,373270,10,0,0
Spd_RF2_200_289_3963,6,1,0,41,6,0,35,369681,10,0,0
Spd_RF2_200_312_3971,1.67,3,0,38,2034,0,36.33,346811,10,0,0
Spd_RF2_200_312_3979,0.9,5,0,42,4,0,41.1,343019,10,0,0
Spd_RF2_200_312_3987,2.84,3,0,42,1,0,39.16,345676,10,0,0
Spd_RF2_200_312_3995,1.3,3,0,42,2,0,40.7,343062,10,0,0
Spd_RF2_200_312_4003,2.18,3,0,41,9,0,38.82,340814,10,0,0
Spd_RF2_20_27_211,0.21,4,0,2,203,0,1.79,6933738,10,0,0
Spd_RF2_20_27_219,0.45,1,0,3,2,0,2.55,8412491,10,0,0
Spd_RF2_20_27_227,0.18,3,0,3,1,0,2.82,8002289,10,0,0
Spd_RF2_20_27_235,0.5,1,0,3,10,0,2.5,9993129,10,0,0
Spd_RF2_20_27_243,0.46,3,0,4,1,0,3.54,6167345,10,0,0
Spd_RF2_20_34_251,-0.52,9,0,1,2126,0,1.52,8468139,10,0,0
Spd_RF2_20_34_259,-0.38,11,0,3,0,0,3.38,8286535,10,0,0
Spd_RF2_20_34_267,-0.29,11,0,3,0,0,3.29,4590077,10,0,0
Spd_RF2_20_34_275,-0.78,12,0,2,64,0,2.78,4743609,10,0,0
Spd_RF2_20_34_283,-0.14,5,0,2,29346,0,2.14,4065210,10,0,0
Spd_RF2_20_42_291,0,3514,0,1,1907,0,1,3514,0,1,0
Spd_RF2_20_42_299,-0.65,34,0,2,1,0,2.65,6566119,10,0,0
Spd_RF2_20_42_307,-0.41,34,0,1,16447,0,1.41,3195767,10,0,0
Spd_RF2_20_42_315,-0.39,35,0,1,40,0,1.39,3209633,10,0,0
Spd_RF2_20_42_323,-0.33,40,0,1,10417,0,1.33,3144443,10,0,0
Spd_RF2_20_49_331,-0.46,44,0,1,60,0,1.46,2815338,10,0,0
Spd_RF2_20_49_339,-0.02,605087,2,1,12448,0,1.02,2897258,10,0,0
Spd_RF2_20_49_347,-0.02,1863811,6,1,70768,0,1.02,2800200,10,0,0
Spd_RF2_20_49_355,-0.28,63,0,1,25587,0,1.28,2760998,10,0,0
Spd_RF2_20_49_363,-0.5,19,0,1,82993,0,1.5,2913954,10,0,0
Spd_RF2_20_57_371,-0.03,1482606,5,1,18,0,1.03,2493046,10,0,0
Spd_RF2_20_57_379,-0.02,2358988,9,1,1479593,5,1.02,2470333,10,0,0
Spd_RF2_20_57_387,-0.4,73,0,1,34,0,1.4,2546274,10,0,0
Spd_RF2_20_57_395,-0.03,2330726,9,1,1867562,7,1.03,2506214,10,0,0
Spd_RF2_20_57_403,-0.03,1942399,7,1,37,0,1.03,2504866,10,0,0
Spd_RF2_250_273_4011,30.97,1,0,72,1,0,41.03,444020,10,0,0
Spd_RF2_250_273_4019,30.68,1,0,71,2,0,40.32,433990,10,0,0
Spd_RF2_250_273_4027,30.16,1,0,71,6,0,40.84,425142,10,0,0
Spd_RF2_250_273_4035,29.86,1,0,72,6,0,42.14,446546,10,0,0
Spd_RF2_250_273_4043,30.52,1,0,70,10,0,39.48,440472,10,0,0
Spd_RF2_250_297_4051,21.41,1,0,61,5,0,39.59,376708,10,0,0
Spd_RF2_250_297_4059,22.44,1,0,64,6,0,41.56,375501,10,0,0
Spd_RF2_250_297_4067,21.6,1,0,58,6,0,36.4,374008,10,0,0
Spd_RF2_250_297_4075,22.57,1,0,66,5,0,43.43,369683,10,0,0
Spd_RF2_250_297_4083,21.74,1,0,64,8,0,42.26,359418,10,0,0
Spd_RF2_250_321_4091,17.14,1,0,62,6,0,44.86,335167,10,0,0
Spd_RF2_250_321_4099,16.69,1,0,60,9,0,43.31,334628,10,0,0
Spd_RF2_250_321_4107,15.49,1,0,57,3,0,41.51,337221,10,0,0
Spd_RF2_250_321_4115,16.01,1,0,57,9,0,40.99,325050,10,0,0
Spd_RF2_250_321_4123,17.95,1,0,61,1,0,43.05,343555,10,0,0
Spd_RF2_250_345_4131,9.08,1,0,53,6,0,43.92,310280,10,0,0
Spd_RF2_250_345_4139,11.51,1,0,60,9,0,48.49,300368,10,0,0
Spd_RF2_250_345_4147,10.26,1,0,55,12,0,44.74,315801,10,0,0
Spd_RF2_250_345_4155,9.3,1,0,57,10,0,47.7,311366,10,0,0
Spd_RF2_250_345_4163,10.97,1,0,53,2,0,42.03,305652,10,0,0
Spd_RF2_250_369_4171,5.71,3,0,55,1,0,49.29,272614,10,0,0
Spd_RF2_250_369_4179,5.04,1,0,52,1,0,46.96,279902,10,0,0
Spd_RF2_250_369_4187,5.31,3,0,47,6,0,41.69,284658,10,0,0
Spd_RF2_250_369_4195,4.59,3,0,52,1,0,47.41,278755,10,0,0
Spd_RF2_250_369_4203,4.36,3,0,53,1,0,48.64,275670,10,0,0
Spd_RF2_300_326_4211,37.79,1,0,85,6,0,47.21,354414,10,0,0
Spd_RF2_300_326_4219,37.56,1,0,84,6,0,46.44,358638,10,0,0
Spd_RF2_300_326_4227,37.35,1,0,86,6,0,48.65,359988,10,0,0
Spd_RF2_300_326_4235,37.11,1,0,87,6,0,49.89,353905,10,0,0
Spd_RF2_300_326_4243,38.18,1,0,88,2,0,49.82,353870,10,0,0
Spd_RF2_300_353_4251,28.76,1,0,77,6,0,48.24,307484,10,0,0
Spd_RF2_300_353_4259,28.36,1,0,76,7,0,47.64,305706,10,0,0
Spd_RF2_300_353_4267,29.47,1,0,84,7,0,54.53,306871,10,0,0
Spd_RF2_300_353_4275,28.66,1,0,79,3,0,50.34,299664,10,0,0
Spd_RF2_300_353_4283,28.46,1,0,82,1,0,53.54,310189,10,0,0
Spd_RF2_300_380_4291,22.73,1,0,77,9,0,54.27,275995,10,0,0
Spd_RF2_300_380_4299,21.12,1,0,75,5,0,53.88,277076,10,0,0
Spd_RF2_300_380_4307,19.52,1,0,73,6,0,53.48,275467,10,0,0
Spd_RF2_300_380_4315,18.71,1,0,69,12,0,50.29,279950,10,0,0
Spd_RF2_300_380_4323,21.61,1,0,73,6,0,51.39,278514,10,0,0
Spd_RF2_300_407_4331,15,1,0,67,4,0,52,251858,10,0,0
Spd_RF2_300_407_4339,15.05,1,0,68,1,0,52.95,251032,10,0,0
Spd_RF2_300_407_4347,15.28,1,0,67,6,0,51.72,246409,10,0,0
Spd_RF2_300_407_4355,13.47,1,0,67,12,0,53.53,253235,10,0,0
Spd_RF2_300_407_4363,15.14,1,0,71,10,0,55.86,251755,10,0,0
Spd_RF2_300_434_4371,9.32,1,0,63,6,0,53.68,231073,10,0,0
Spd_RF2_300_434_4379,8.28,1,0,66,145581,6,57.72,233263,10,0,0
Spd_RF2_300_434_4387,7.67,1,0,65,4,0,57.33,228752,10,0,0
Spd_RF2_300_434_4395,7.78,1,0,67,6,0,59.22,233422,10,0,0
Spd_RF2_300_434_4403,9.74,1,0,65,6,0,55.26,226948,10,0,0
Spd_RF2_350_378_4411,44.57,1,0,102,7,0,57.43,297524,10,0,0
Spd_RF2_350_378_4419,43.96,1,0,100,6,0,56.04,307278,10,0,0
Spd_RF2_350_378_4427,44.21,1,0,103,5,0,58.79,305780,10,0,0
Spd_RF2_350_378_4435,44.33,1,0,99,6,0,54.67,306185,10,0,0
Spd_RF2_350_378_4443,43.4,1,0,102,6,0,58.6,294629,10,0,0
Spd_RF2_350_406_4451,35.38,1,0,93,5,0,57.62,255216,10,0,0
Spd_RF2_350_406_4459,34.84,1,0,91,4,0,56.16,260161,10,0,0
Spd_RF2_350_406_4467,35.5,1,0,95,8,0,59.5,260380,10,0,0
Spd_RF2_350_406_4475,33.49,1,0,89,7,0,55.51,260757,10,0,0
Spd_RF2_350_406_4483,34.31,1,0,92,6,0,57.69,269156,10,0,0
Spd_RF2_350_435_4491,26.1,1,0,83,9,0,56.9,238684,10,0,0
Spd_RF2_350_435_4499,25.94,1,0,85,3,0,59.06,234862,10,0,0
Spd_RF2_350_435_4507,25.82,1,0,79,6,0,53.18,241975,10,0,0
Spd_RF2_350_435_4515,26.61,1,0,88,1,0,61.39,239782,10,0,0
Spd_RF2_350_435_4523,26.21,1,0,85,4,0,58.79,230161,10,0,0
Spd_RF2_350_463_4531,20.25,1,0,82,7,0,61.75,217395,10,0,0
Spd_RF2_350_463_4539,19.55,1,0,85,6,0,65.45,221248,10,0,0
Spd_RF2_350_463_4547,18.73,1,0,84,6,0,65.27,217219,10,0,0
Spd_RF2_350_463_4555,18,1,0,76,6,0,58,224340,10,0,0
Spd_RF2_350_463_4563,20.36,1,0,84,1,0,63.64,213633,10,0,0
Spd_RF2_350_492_4571,13.05,1,0,77,6,0,63.95,199042,10,0,0
Spd_RF2_350_492_4579,14.17,1,0,80,4,0,65.83,197094,10,0,0
Spd_RF2_350_492_4587,11.91,1,0,75,4,0,63.09,201841,10,0,0
Spd_RF2_350_492_4595,12.93,1,0,74,3,0,61.07,203843,10,0,0
Spd_RF2_350_492_4603,13.99,1,0,77,4,0,63.01,199045,10,0,0
Spd_RF2_400_429_4611,51.84,1,0,120,1,0,68.16,262733,10,0,0
Spd_RF2_400_429_4619,52.42,1,0,119,6,0,66.58,210300,10,0,0
Spd_RF2_400_429_4627,51.82,1,0,120,2,0,68.18,236563,10,0,0
Spd_RF2_400_429_4635,51.78,1,0,119,0,0,67.22,150393,10,0,0
Spd_RF2_400_429_4643,52.7,1,0,123,5,0,70.3,236008,10,0,0
Spd_RF2_400_459_4651,42.24,1,0,109,6,0,66.76,205336,10,0,0
Spd_RF2_400_459_4659,41.75,1,0,104,7,0,62.25,210522,10,0,0
Spd_RF2_400_459_4667,41.54,1,0,110,9,0,68.46,231585,10,0,0
Spd_RF2_400_459_4675,42.02,1,0,114,4,0,71.98,224571,10,0,0
Spd_RF2_400_459_4683,40.82,1,0,107,6,0,66.18,225568,10,0,0
Spd_RF2_400_489_4691,31.8,1,0,99,6,0,67.2,208018,10,0,0
Spd_RF2_400_489_4699,33.38,1,0,104,7,0,70.62,205807,10,0,0
Spd_RF2_400_489_4707,32.12,1,0,100,3,0,67.88,205016,10,0,0
Spd_RF2_400_489_4715,32.69,1,0,102,5,0,69.31,210002,10,0,0
Spd_RF2_400_489_4723,32.9,1,0,100,6,0,67.1,207022,10,0,0
Spd_RF2_400_519_4731,24.36,1,0,95,6,0,70.64,189716,10,0,0
Spd_RF2_400_519_4739,23.49,1,0,90,6,0,66.51,191475,10,0,0
Spd_RF2_400_519_4747,24.99,1,0,95,2,0,70.01,192120,10,0,0
Spd_RF2_400_519_4755,24.74,1,0,97,7,0,72.26,189942,10,0,0
Spd_RF2_400_519_4763,23.85,1,0,92,6,0,68.15,192025,10,0,0
Spd_RF2_400_549_4771,18.17,1,0,88,3,0,69.83,179555,10,0,0
Spd_RF2_400_549_4779,17.27,1,0,88,5,0,70.73,163431,10,0,0
Spd_RF2_400_549_4787,16.95,1,0,87,10,0,70.05,160353,10,0,0
Spd_RF2_400_549_4795,16.99,1,0,88,8,0,71.01,161961,10,0,0
Spd_RF2_400_549_4803,19.83,1,0,92,4,0,72.17,163409,10,0,0
Spd_RF2_40_50_611,2.61,1,0,10,7,0,7.39,2533680,10,0,0
Spd_RF2_40_50_619,2.08,1,0,8,0,0,5.92,3965008,10,0,0
Spd_RF2_40_50_627,2.17,1,0,9,1,0,6.83,2481853,10,0,0
Spd_RF2_40_50_635,2.53,1,0,9,5,0,6.47,5129336,10,0,0
Spd_RF2_40_50_643,1.9,1,0,8,1,0,6.1,3025344,10,0,0
Spd_RF2_40_60_651,-0.02,3,0,6,24643,0,6.02,2201042,10,0,0
Spd_RF2_40_60_659,0.01,5,0,6,15,0,5.99,2301142,10,0,0
Spd_RF2_40_60_667,0.2,3,0,7,5,0,6.8,2199104,10,0,0
Spd_RF2_40_60_675,0.14,1,0,5,5,0,4.86,4433645,10,0,0
Spd_RF2_40_60_683,0.02,9,0,7,10,0,6.98,2256161,10,0,0
Spd_RF2_40_71_691,-0.99,23,0,3,253395,1,3.99,1901763,10,0,0
Spd_RF2_40_71_699,-0.71,7,0,5,38,0,5.71,1854227,10,0,0
Spd_RF2_40_71_707,-0.4,14,0,5,6943,0,5.4,1936338,10,0,0
Spd_RF2_40_71_715,-0.31,9,0,5,5321,0,5.31,2000153,10,0,0
Spd_RF2_40_71_723,-0.64,18,0,5,79576,0,5.64,1779448,10,0,0
Spd_RF2_40_81_731,-0.57,27,0,4,9433,0,4.57,1547926,10,0,0
Spd_RF2_40_81_739,-0.83,41,0,4,8,0,4.83,1598095,10,0,0
Spd_RF2_40_81_747,-0.25,21,0,5,22934,0,5.25,1571163,10,0,0
Spd_RF2_40_81_755,-0.94,19,0,4,43294,0,4.94,1464050,10,0,0
Spd_RF2_40_81_763,-0.95,21,0,4,515037,3,4.95,1418252,10,0,0
Spd_RF2_40_92_771,-0.45,55,0,4,2,0,4.45,1276774,10,0,0
Spd_RF2_40_92_779,-0.88,38,0,4,406409,3,4.88,1300039,10,0,0
Spd_RF2_40_92_787,-0.42,38,0,4,5691,0,4.42,1327950,10,0,0
Spd_RF2_40_92_795,-0.52,28,0,4,397990,3,4.52,1286109,10,0,0
Spd_RF2_40_92_803,-0.76,47,0,4,85422,0,4.76,1285004,10,0,0
Spd_RF2_450_482_4811,58.61,1,0,135,8,0,76.39,206059,10,0,0
Spd_RF2_450_482_4819,58.36,1,0,132,6,0,73.64,207596,10,0,0
Spd_RF2_450_482_4827,58.41,1,0,134,9,0,75.59,204673,10,0,0
Spd_RF2_450_482_4835,59.64,1,0,137,2,0,77.36,208873,10,0,0
Spd_RF2_450_482_4843,58.99,1,0,135,2,0,76.01,157293,10,0,0
Spd_RF2_450_515_4851,46.92,1,0,123,7,0,76.08,180898,10,0,0
Spd_RF2_450_515_4859,47.78,1,0,120,1,0,72.22,182009,10,0,0
Spd_RF2_450_515_4867,46.24,1,0,123,6,0,76.76,181979,10,0,0
Spd_RF2_450_515_4875,47.71,1,0,123,5,0,75.29,179707,10,0,0
Spd_RF2_450_515_4883,46.37,1,0,114,6,0,67.63,180826,10,0,0
Spd_RF2_450_548_4891,37.41,1,0,111,6,0,73.59,165823,10,0,0
Spd_RF2_450_548_4899,37.52,1,0,111,5,0,73.48,168038,10,0,0
Spd_RF2_450_548_4907,36.99,1,0,112,5,0,75.01,180580,10,0,0
Spd_RF2_450_548_4915,36.64,1,0,112,7,0,75.36,181943,10,0,0
Spd_RF2_450_548_4923,37.79,1,0,119,3,0,81.21,181711,10,0,0
Spd_RF2_450_581_4931,28.43,1,0,109,3,0,80.57,162090,10,0,0
Spd_RF2_450_581_4939,28.79,1,0,103,1,0,74.21,164089,10,0,0
Spd_RF2_450_581_4947,29.4,1,0,106,9,0,76.6,167401,10,0,0
Spd_RF2_450_581_4955,29.87,1,0,108,2,0,78.13,165318,10,0,0
Spd_RF2_450_581_4963,28.6,1,0,107,10,0,78.4,166468,10,0,0
Spd_RF2_450_614_4971,21.44,1,0,101,7,0,79.56,153504,10,0,0
Spd_RF2_450_614_4979,22.19,1,0,103,6,0,80.81,154532,10,0,0
Spd_RF2_450_614_4987,19.92,1,0,102,6,0,82.08,155413,10,0,0
Spd_RF2_450_614_4995,20.85,1,0,100,6,0,79.15,154759,10,0,0
Spd_RF2_450_614_5003,21.42,1,0,103,0,0,81.58,154719,10,0,0
Spd_RF2_500_534_5011,65.8,1,0,148,5,0,82.2,206977,10,0,0
Spd_RF2_500_534_5019,65.88,1,0,150,7,0,84.12,200503,10,0,0
Spd_RF2_500_534_5027,66.26,1,0,150,6,0,83.74,200002,10,0,0
